"Contig","HGT_contig_length"
"NODE_1801_length_5454_cov_11.648824||full_4-(4504..5361)-K06400-spoIVCA; site-specific DNA recombinase",858
"NODE_2761_length_4120_cov_4.855105||full_4-(2680..3234)-K14059-int; integrase",555
"NODE_36_length_46729_cov_81.555341||full_1 23919-46726/46726_1-(146..1180)-K07482-K07482; transposase, IS30 family",1035
"NODE_4239_length_6190_cov_7.592665||full_1-(1..426)-VOG00520-sp|P03015|GIN_BPMU Serine recombinase gin",426
"NODE_163_length_30301_cov_6.837003||full_1 3230-30185/30185_5-(2942..4780)-K06400-spoIVCA; site-specific DNA recombinase",1839
"NODE_9258_length_3580_cov_5.718014||full_4-(2739..3578)-K06400-spoIVCA; site-specific DNA recombinase",840
"NODE_28769_length_1452_cov_3.211883||full_4-(1187..1450)-K06400-spoIVCA; site-specific DNA recombinase",264
"NODE_2453_length_8740_cov_20.256534||full_4-(3970..4953)-K04763-xerD; integrase/recombinase XerD",984
"NODE_2453_length_8740_cov_20.256534||full_7-(6907..7956)-K07482-K07482; transposase, IS30 family",1050
"NODE_29_length_49562_cov_8.179268||full_1 1-46625/49558_31-(24767..25330)-K04763-xerD; integrase/recombinase XerD",564
"NODE_29_length_49562_cov_8.179268||full_1 1-46625/49558_63-(43303..45231)-VOG00520-sp|P03015|GIN_BPMU Serine recombinase gin",1929
"NODE_364_length_22618_cov_117.553384||full_3-(5428..6945)-K06400-spoIVCA; site-specific DNA recombinase",1518
"NODE_22_length_56641_cov_43.121143||full_71-(54083..55654)-K06400-spoIVCA; site-specific DNA recombinase",1572
"NODE_8484_length_3829_cov_7.193694||full_8-(2859..3827)-K06400-spoIVCA; site-specific DNA recombinase",969
"NODE_12138_length_2919_cov_79.454609||full_1-(1..1071)-K07482-K07482; transposase, IS30 family",1071
"NODE_11913_length_2958_cov_3.844299||full_1-(1..972)-K06400-spoIVCA; site-specific DNA recombinase",972
"NODE_405_length_21496_cov_8.001679||full_1-(1..1293)-VOG00758-sp|P16942|T629_SHISO Transposase for insertion sequence element IS629",1293
"NODE_4763_length_5728_cov_11.086198||full_1-(1..1458)-K06400-spoIVCA; site-specific DNA recombinase",1458
"NODE_4763_length_5728_cov_11.086198||full_2-(1451..3253)-K06400-spoIVCA; site-specific DNA recombinase",1803
"NODE_4763_length_5728_cov_11.086198||full_3-(3256..4923)-K06400-spoIVCA; site-specific DNA recombinase",1668
"NODE_328_length_23691_cov_8.731723||full_3-(1509..2354)-PF12784.7-PD-(D/E)XK nuclease family transposase",846
"NODE_11692_length_3002_cov_15.327791||full_3-(864..1682)-K07497-K07497; putative transposase",819
"NODE_11692_length_3002_cov_15.327791||full_4-(1751..2041)-K07483-K07483; transposase",291
"NODE_8495_length_3823_cov_28.852176||full_2-(408..1184)-K06400-spoIVCA; site-specific DNA recombinase",777
"NODE_8495_length_3823_cov_28.852176||full_3-(1213..2853)-K06400-spoIVCA; site-specific DNA recombinase",1641
"NODE_3477_length_7065_cov_12.496434||full_3-(1632..3332)-K06400-spoIVCA; site-specific DNA recombinase",1701
"NODE_3477_length_7065_cov_12.496434||full_4-(3334..5037)-K06400-spoIVCA; site-specific DNA recombinase",1704
"NODE_3477_length_7065_cov_12.496434||full_5-(5030..6601)-K06400-spoIVCA; site-specific DNA recombinase",1572
"NODE_306_length_24317_cov_67.514756||0_partial_fragment_1_9-(8220..9338)-K14059-int; integrase",1119
"NODE_4424_length_6011_cov_9.483882||full_2-(384..2045)-K06400-spoIVCA; site-specific DNA recombinase",1662
"NODE_4424_length_6011_cov_9.483882||full_3-(2046..3683)-K06400-spoIVCA; site-specific DNA recombinase",1638
"NODE_4424_length_6011_cov_9.483882||full_4-(3685..5265)-K06400-spoIVCA; site-specific DNA recombinase",1581
"NODE_1838_length_10302_cov_6.726652||full_13-(8709..10247)-K06400-spoIVCA; site-specific DNA recombinase",1539
"NODE_60_length_42802_cov_18.693850||full_1-(1..1047)-K07482-K07482; transposase, IS30 family",1047
"NODE_19694_length_1978_cov_5.111804||full_5-(1370..1978)-VOG00520-sp|P03015|GIN_BPMU Serine recombinase gin",609
"NODE_15496_length_2403_cov_13.103066||full_1-(1..471)-K14059-int; integrase",471
"NODE_9744_length_3447_cov_14.403007||full_1-(1..1569)-PF03050.14-Transposase IS66 family",1569
"NODE_7937_length_4020_cov_44.281463||full_1-(1..1500)-K06400-spoIVCA; site-specific DNA recombinase",1500
"NODE_7937_length_4020_cov_44.281463||full_2-(1497..3107)-K06400-spoIVCA; site-specific DNA recombinase",1611
"NODE_7937_length_4020_cov_44.281463||full_3-(3097..3480)-K06400-spoIVCA; site-specific DNA recombinase",384
"NODE_24830_length_1638_cov_2.938724||full_3-(743..1171)-PF01797.16-Transposase IS200 like",429
"NODE_688_length_17270_cov_5.105257||full_9-(7644..8594)-K04763-xerD; integrase/recombinase XerD",951
"NODE_207_length_28212_cov_38.268672||full_1 5755-28134/28134_5-(2628..3539)-K14059-int; integrase",912
"NODE_4857_length_5651_cov_11.441387||full_2-(137..1741)-K06400-spoIVCA; site-specific DNA recombinase",1605
"NODE_4857_length_5651_cov_11.441387||full_3-(1743..3455)-K06400-spoIVCA; site-specific DNA recombinase",1713
"NODE_4857_length_5651_cov_11.441387||full_4-(3468..5102)-K06400-spoIVCA; site-specific DNA recombinase",1635
"NODE_770_length_16362_cov_21.993193||full_11-(6313..6885)-K04763-xerD; integrase/recombinase XerD",573
"NODE_2131_length_9571_cov_14.132093||full_2-(1662..2486)-K04763-xerD; integrase/recombinase XerD",825
"NODE_1993_length_9883_cov_10.764754||full_3-(1854..3449)-K06400-spoIVCA; site-specific DNA recombinase",1596
"NODE_7481_length_4204_cov_135.741142||full_4-(1475..3232)-K06400-spoIVCA; site-specific DNA recombinase",1758
"NODE_3090_length_7595_cov_11.983820||full_5-(1866..3587)-K06400-spoIVCA; site-specific DNA recombinase",1722
"NODE_10265_length_3310_cov_5.847619||full_4-(1393..3120)-VOG00520-sp|P03015|GIN_BPMU Serine recombinase gin",1728
"NODE_165_length_30131_cov_11.123620||full_3-(1066..3027)-VOG00758-sp|P16942|T629_SHISO Transposase for insertion sequence element IS629",1962
"NODE_1515_length_11439_cov_5.902934||full_2-(1684..2718)-K04763-xerD; integrase/recombinase XerD",1035
"NODE_1515_length_11439_cov_5.902934||full_8-(5591..6157)-K04763-xerD; integrase/recombinase XerD",567
"NODE_3324_length_7269_cov_4.353063||full_2-(305..1939)-K06400-spoIVCA; site-specific DNA recombinase",1635
"NODE_3324_length_7269_cov_4.353063||full_3-(1954..3660)-K06400-spoIVCA; site-specific DNA recombinase",1707
"NODE_3324_length_7269_cov_4.353063||full_4-(3650..5227)-K06400-spoIVCA; site-specific DNA recombinase",1578
"NODE_3646_length_6862_cov_11.281769||full_4-(1167..2450)-K06400-spoIVCA; site-specific DNA recombinase",1284
"NODE_3646_length_6862_cov_11.281769||full_5-(2438..4051)-K06400-spoIVCA; site-specific DNA recombinase",1614
"NODE_3646_length_6862_cov_11.281769||full_9-(5352..6347)-K14059-int; integrase",996
"NODE_7639_length_4140_cov_16.018849||full_1-(1..897)-K14059-int; integrase",897
"NODE_7639_length_4140_cov_16.018849||full_3-(1970..2536)-K07493-K07493; putative transposase",567
"NODE_4565_length_5873_cov_19.378481||full_1-(1..1476)-K06400-spoIVCA; site-specific DNA recombinase",1476
"NODE_4565_length_5873_cov_19.378481||full_2-(1478..3115)-K06400-spoIVCA; site-specific DNA recombinase",1638
"NODE_4565_length_5873_cov_19.378481||full_3-(3112..4644)-K06400-spoIVCA; site-specific DNA recombinase",1533
"NODE_5375_length_5267_cov_7.143323||full_3-(1008..2879)-K06400-spoIVCA; site-specific DNA recombinase",1872
"NODE_9255_length_3580_cov_24.360000||full_2-(173..1804)-K06400-spoIVCA; site-specific DNA recombinase",1632
"NODE_15692_length_2377_cov_4.023686||full_1-(1..1536)-VOG00520-sp|P03015|GIN_BPMU Serine recombinase gin",1536
"NODE_12951_length_2775_cov_169.954412||full_4-(1376..2662)-K06400-spoIVCA; site-specific DNA recombinase",1287
"NODE_3524_length_6994_cov_5.139934||full_2-(413..2527)-VOG00758-sp|P16942|T629_SHISO Transposase for insertion sequence element IS629",2115
"NODE_10623_length_3230_cov_6.510551||full_6-(2507..3229)-K04763-xerD; integrase/recombinase XerD",723
"NODE_2098_length_9635_cov_21.353653||full_6-(2956..4764)-VOG15133-REFSEQ integrase core domain protein",1809
"NODE_776_length_16310_cov_11.199077||full_14-(11578..13017)-K06400-spoIVCA; site-specific DNA recombinase",1440
"NODE_2302_length_9078_cov_7.007204||full_7-(4724..5773)-K07482-K07482; transposase, IS30 family",1050
"NODE_8759_length_3738_cov_6.175944||full_2-(223..1128)-K03733-xerC; integrase/recombinase XerC",906
"NODE_8582_length_3791_cov_9.545236||full_1-(1..1050)-K07482-K07482; transposase, IS30 family",1050
"NODE_2844_length_7975_cov_5.739268||full_1-(1..396)-PF09588.10-YqaJ-like viral recombinase domain",396
"NODE_2844_length_7975_cov_5.739268||full_6-(3778..5232)-K06400-spoIVCA; site-specific DNA recombinase",1455
"NODE_7139_length_4348_cov_5.295597||full_5-(2167..3204)-K04763-xerD; integrase/recombinase XerD",1038
"NODE_1245_length_12764_cov_31.234637||full_7-(4612..5067)-VOG00520-sp|P03015|GIN_BPMU Serine recombinase gin",456
"NODE_11996_length_2944_cov_9.746279||full_2-(173..1171)-K03733-xerC; integrase/recombinase XerC",999
"NODE_11996_length_2944_cov_9.746279||full_3-(1614..1949)-K07493-K07493; putative transposase",336
"NODE_11996_length_2944_cov_9.746279||full_4-(2019..2303)-K07493-K07493; putative transposase",285
"NODE_11996_length_2944_cov_9.746279||full_5-(2400..2828)-K07493-K07493; putative transposase",429
"NODE_16504_length_2282_cov_4.192187||full_1-(1..294)-K07482-K07482; transposase, IS30 family",294
"NODE_16504_length_2282_cov_4.192187||full_2-(343..852)-K07482-K07482; transposase, IS30 family",510
"NODE_9289_length_3572_cov_9.223770||full_1-(1..1356)-VOG00520-sp|P03015|GIN_BPMU Serine recombinase gin",1356
"NODE_4115_length_6348_cov_5.641348||full_3-(861..2495)-K06400-spoIVCA; site-specific DNA recombinase",1635
"NODE_4115_length_6348_cov_5.641348||full_4-(2495..4192)-K06400-spoIVCA; site-specific DNA recombinase",1698
"NODE_4115_length_6348_cov_5.641348||full_5-(4189..5811)-K06400-spoIVCA; site-specific DNA recombinase",1623
"NODE_17701_length_2154_cov_41.290615||full_4-(1058..2101)-K07482-K07482; transposase, IS30 family",1044
"NODE_16_length_59769_cov_60.793918||full_1 1-51532/59767_6-(2623..3978)-VOG00520-sp|P03015|GIN_BPMU Serine recombinase gin",1356
"NODE_16_length_59769_cov_60.793918||full_1 1-51532/59767_40-(22374..22994)-K04763-xerD; integrase/recombinase XerD",621
"NODE_16_length_59769_cov_60.793918||full_1 1-51532/59767_41-(22937..23179)-K04763-xerD; integrase/recombinase XerD",243
"NODE_10398_length_3281_cov_5.820521||full_6-(2405..3277)-K07482-K07482; transposase, IS30 family",873
"NODE_6582_length_4602_cov_4.497691||full_13-(4104..4598)-VOG00520-sp|P03015|GIN_BPMU Serine recombinase gin",495
"NODE_12623_length_2839_cov_56.361710||full_2-(633..1868)-K14059-int; integrase",1236
"NODE_2689_length_8240_cov_8.334026||full_12-(6373..7413)-K07482-K07482; transposase, IS30 family",1041
"NODE_2161_length_9473_cov_17.170418||full_8-(2470..4080)-K06400-spoIVCA; site-specific DNA recombinase",1611
"NODE_5491_length_5194_cov_9.873516||full_2-(552..2120)-K06400-spoIVCA; site-specific DNA recombinase",1569
"NODE_5491_length_5194_cov_9.873516||full_3-(2122..3804)-K06400-spoIVCA; site-specific DNA recombinase",1683
"NODE_5491_length_5194_cov_9.873516||full_4-(3805..5190)-K06400-spoIVCA; site-specific DNA recombinase",1386
"NODE_5890_length_4962_cov_12.140615||full_1-(1..1515)-K06400-spoIVCA; site-specific DNA recombinase",1515
"NODE_6876_length_4464_cov_6.666818||full_6-(2829..4412)-K06400-spoIVCA; site-specific DNA recombinase",1584
"NODE_1455_length_11659_cov_20.400207||full_23-(11127..11339)-PF00872.18-Transposase, Mutator family",213
"NODE_1902_length_10118_cov_23.777502||full_4-(1879..3519)-K06400-spoIVCA; site-specific DNA recombinase",1641
"NODE_11799_length_2983_cov_4.005806||full_1-(1..741)-K06400-spoIVCA; site-specific DNA recombinase",741
"NODE_11799_length_2983_cov_4.005806||full_2-(741..2339)-K06400-spoIVCA; site-specific DNA recombinase",1599
"NODE_3465_length_7079_cov_40.376566||full_1-(1..1194)-K14059-int; integrase",1194
"NODE_12183_length_2911_cov_4.557073||full_2-(653..1630)-K03733-xerC; integrase/recombinase XerC",978
"NODE_1182_length_13155_cov_13.916565||full_12-(12153..12722)-K07482-K07482; transposase, IS30 family",570
"NODE_5048_length_5517_cov_4.386672||full_5-(1832..2824)-K04763-xerD; integrase/recombinase XerD",993
"NODE_7356_length_4251_cov_4.259533||full_9-(3775..4248)-VOG00520-sp|P03015|GIN_BPMU Serine recombinase gin",474
"NODE_18236_length_2105_cov_4.852195||full_1-(1..327)-PF09588.10-YqaJ-like viral recombinase domain",327
"NODE_1383_length_12000_cov_158.372625||full_2-(374..2086)-K06400-spoIVCA; site-specific DNA recombinase",1713
"NODE_11672_length_3006_cov_4.098950||full_4-(1118..1561)-K04763-xerD; integrase/recombinase XerD",444
"NODE_672_length_17445_cov_10.145371||full_15-(9471..11531)-VOG00758-sp|P16942|T629_SHISO Transposase for insertion sequence element IS629",2061
"NODE_11657_length_3008_cov_16.924822||full_4-(1907..2113)-PF14659.6-Phage integrase, N-terminal SAM-like domain",207
"NODE_8573_length_3794_cov_12.418026||full_1-(1..324)-K06400-spoIVCA; site-specific DNA recombinase",324
"NODE_8573_length_3794_cov_12.418026||full_2-(287..1567)-K06400-spoIVCA; site-specific DNA recombinase",1281
"NODE_200_length_28464_cov_78.282411||full_10-(7679..9142)-K06400-spoIVCA; site-specific DNA recombinase",1464
"NODE_4171_length_6274_cov_4.045345||full_4-(1997..3625)-K06400-spoIVCA; site-specific DNA recombinase",1629
"NODE_4171_length_6274_cov_4.045345||full_6-(4145..5641)-K06400-spoIVCA; site-specific DNA recombinase",1497
"NODE_667_length_17506_cov_29.199244||full_4-(1893..2495)-K04763-xerD; integrase/recombinase XerD",603
"NODE_586_length_18582_cov_15.408539||full_20-(17166..18047)-K04763-xerD; integrase/recombinase XerD",882
"NODE_7990_length_4005_cov_6.836709||full_1-(1..1095)-K07482-K07482; transposase, IS30 family",1095
"NODE_3663_length_6840_cov_9.334709||full_1-(1..975)-K06400-spoIVCA; site-specific DNA recombinase",975
"NODE_437_length_20893_cov_13.013821||full_6-(4942..5541)-K04763-xerD; integrase/recombinase XerD",600
"NODE_1550_length_11283_cov_13.214553||full_11-(4786..6912)-VOG00758-sp|P16942|T629_SHISO Transposase for insertion sequence element IS629",2127
"NODE_5691_length_5083_cov_11.479316||full_8-(2723..3376)-PF09588.10-YqaJ-like viral recombinase domain",654
"NODE_3232_length_7396_cov_20.501567||full_5-(4179..5003)-PF12784.7-PD-(D/E)XK nuclease family transposase",825
"NODE_110_length_34583_cov_8.912506||full_45-(33288..34325)-K07482-K07482; transposase, IS30 family",1038
"NODE_1196_length_13093_cov_13.618193||full_1 8594-13092/13092_1-(2..1279)-VOG00758-sp|P16942|T629_SHISO Transposase for insertion sequence element IS629",1278
"NODE_8800_length_3719_cov_13.289028||full_1-(1..909)-K07497-K07497; putative transposase",909
"NODE_815_length_15944_cov_8.791617||full_1-(1..894)-K06400-spoIVCA; site-specific DNA recombinase",894
"NODE_11454_length_3052_cov_8.631965||full_3-(1026..2510)-K06400-spoIVCA; site-specific DNA recombinase",1485
"NODE_1963_length_9961_cov_36.036745||full_1-(1..993)-K06400-spoIVCA; site-specific DNA recombinase",993
"NODE_16294_length_2303_cov_4.637456||full_4-(1901..2287)-K06400-spoIVCA; site-specific DNA recombinase",387
"NODE_6823_length_4486_cov_35.324757||full_5-(3174..4253)-K07482-K07482; transposase, IS30 family",1080
"NODE_10311_length_2871_cov_4.502841||full_1-(1..294)-K06400-spoIVCA; site-specific DNA recombinase",294
"NODE_1505_length_10337_cov_29.623322||full_7-(3852..5660)-VOG15133-REFSEQ integrase core domain protein",1809
"NODE_8754_length_3236_cov_3.855391||full_1-(1..1737)-K06400-spoIVCA; site-specific DNA recombinase",1737
"NODE_1452_length_10531_cov_24.533696||full_1 1-4503/10174_1-(1..459)-K03733-xerC; integrase/recombinase XerC",459
"NODE_26822_length_1438_cov_2.976862||full_2-(268..894)-K07482-K07482; transposase, IS30 family",627
"NODE_32_length_50370_cov_14.072662||full_1 1-45892/49934_15-(8815..9849)-K03733-xerC; integrase/recombinase XerC",1035
"NODE_32_length_50370_cov_14.072662||full_1 1-45892/49934_73-(44243..45892)-K06400-spoIVCA; site-specific DNA recombinase",1650
"NODE_22357_length_1640_cov_6.003155||full_1-(1..318)-VOG00758-sp|P16942|T629_SHISO Transposase for insertion sequence element IS629",318
"NODE_22357_length_1640_cov_6.003155||full_3-(812..1108)-K07483-K07483; transposase",297
"NODE_10691_length_2796_cov_5.356804||full_2-(286..1770)-K06400-spoIVCA; site-specific DNA recombinase",1485
"NODE_148_length_30471_cov_7.514696||full_1-(1..870)-K03733-xerC; integrase/recombinase XerC",870
"NODE_1991_length_8748_cov_32.545151||full_1-(1..1566)-K06400-spoIVCA; site-specific DNA recombinase",1566
"NODE_1991_length_8748_cov_32.545151||full_2-(1553..3238)-K06400-spoIVCA; site-specific DNA recombinase",1686
"NODE_1991_length_8748_cov_32.545151||full_3-(3240..4919)-K06400-spoIVCA; site-specific DNA recombinase",1680
"NODE_5008_length_4775_cov_75.750212||full_5-(2843..4396)-K06400-spoIVCA; site-specific DNA recombinase",1554
"NODE_5008_length_4775_cov_75.750212||full_6-(4381..4773)-K06400-spoIVCA; site-specific DNA recombinase",393
"NODE_797_length_14635_cov_6.044582||full_1-(1..1551)-K06400-spoIVCA; site-specific DNA recombinase",1551
"NODE_6593_length_3957_cov_9.382624||full_7-(2746..3840)-K07482-K07482; transposase, IS30 family",1095
"NODE_106_length_35103_cov_6.604685||full_1-(1..345)-K07482-K07482; transposase, IS30 family",345
"NODE_1304_length_11181_cov_5.884505||full_7-(6739..7563)-K04763-xerD; integrase/recombinase XerD",825
"NODE_573_length_17449_cov_19.459526||full_18-(14931..16166)-K14059-int; integrase",1236
"NODE_8500_length_3296_cov_24.664301||full_6-(2600..3157)-K07486-K07486; transposase",558
"NODE_1447_length_10559_cov_6.440975||full_13-(8796..10397)-VOG00520-sp|P03015|GIN_BPMU Serine recombinase gin",1602
"NODE_11711_length_2621_cov_3.732658||full_1-(1..240)-K06400-spoIVCA; site-specific DNA recombinase",240
"NODE_24_length_53016_cov_31.516248||full_39-(28924..29523)-K04763-xerD; integrase/recombinase XerD",600
"NODE_24_length_53016_cov_31.516248||full_74-(48828..50549)-K06400-spoIVCA; site-specific DNA recombinase",1722
"NODE_3544_length_6081_cov_4.610189||full_3-(1239..3362)-VOG00758-sp|P16942|T629_SHISO Transposase for insertion sequence element IS629",2124
"NODE_103_length_35719_cov_22.851867||full_4-(3086..3286)-K07482-K07482; transposase, IS30 family",201
"NODE_103_length_35719_cov_22.851867||full_48-(34624..35673)-K07482-K07482; transposase, IS30 family",1050
"NODE_5977_length_4226_cov_31.823304||full_5-(2989..3420)-PF01797.16-Transposase IS200 like",432
"NODE_16003_length_2090_cov_4.601474||full_1-(1..423)-VOG02220-sp|P59696|T200_SALTY Transposase for insertion sequence element IS200",423
"NODE_4384_length_5259_cov_5.769792||full_1-(1..456)-PF14659.6-Phage integrase, N-terminal SAM-like domain",456
"NODE_4384_length_5259_cov_5.769792||full_3-(1499..3100)-K06400-spoIVCA; site-specific DNA recombinase",1602
"NODE_9204_length_3129_cov_3.981457||full_4-(1525..2736)-K06400-spoIVCA; site-specific DNA recombinase",1212
"NODE_7518_length_3606_cov_5.251478||full_2-(177..1619)-K06400-spoIVCA; site-specific DNA recombinase",1443
"NODE_6099_length_4171_cov_12.700680||full_2-(230..1855)-K06400-spoIVCA; site-specific DNA recombinase",1626
"NODE_7594_length_3585_cov_3.611331||full_2-(471..1289)-K06400-spoIVCA; site-specific DNA recombinase",819
"NODE_7594_length_3585_cov_3.611331||full_3-(1286..1828)-K06400-spoIVCA; site-specific DNA recombinase",543
"NODE_7594_length_3585_cov_3.611331||full_4-(1834..3459)-K06400-spoIVCA; site-specific DNA recombinase",1626
"NODE_14_length_59689_cov_8.747107||full_38-(18268..19668)-K06400-spoIVCA; site-specific DNA recombinase",1401
"NODE_3958_length_5653_cov_47.367810||full_7-(3439..3870)-PF01797.16-Transposase IS200 like",432
"NODE_9416_length_3079_cov_3.927910||full_1-(1..780)-PF13612.6-Transposase DDE domain",780
"NODE_1791_length_9386_cov_7.521166||full_3-(1470..1838)-K06400-spoIVCA; site-specific DNA recombinase",369
"NODE_1791_length_9386_cov_7.521166||full_4-(1859..3409)-K06400-spoIVCA; site-specific DNA recombinase",1551
"NODE_1791_length_9386_cov_7.521166||full_5-(3402..5039)-K06400-spoIVCA; site-specific DNA recombinase",1638
"NODE_1791_length_9386_cov_7.521166||full_6-(5040..6689)-K06400-spoIVCA; site-specific DNA recombinase",1650
"NODE_3731_length_5884_cov_12.723795||full_3-(1148..2680)-K06400-spoIVCA; site-specific DNA recombinase",1533
"NODE_3731_length_5884_cov_12.723795||full_4-(2677..4314)-K06400-spoIVCA; site-specific DNA recombinase",1638
"NODE_3731_length_5884_cov_12.723795||full_5-(4316..5782)-K06400-spoIVCA; site-specific DNA recombinase",1467
"NODE_5697_length_4382_cov_5.203836||full_8-(3083..4276)-K14059-int; integrase",1194
"NODE_5411_length_4540_cov_6.981940||full_6-(2907..4178)-K14059-int; integrase",1272
"NODE_12065_length_2570_cov_3.193241||full_3-(1095..1664)-VOG00520-sp|P03015|GIN_BPMU Serine recombinase gin",570
"NODE_23_length_53264_cov_19.120431||full_1 10073-53242/53242_37-(26565..26807)-K04763-xerD; integrase/recombinase XerD",243
"NODE_23_length_53264_cov_19.120431||full_1 10073-53242/53242_38-(26750..27370)-K04763-xerD; integrase/recombinase XerD",621
"NODE_5722_length_4369_cov_20.967779||full_4-(1681..2700)-K04763-xerD; integrase/recombinase XerD",1020
"NODE_7600_length_3582_cov_4.861072||full_4-(1240..2859)-K06400-spoIVCA; site-specific DNA recombinase",1620
"NODE_7600_length_3582_cov_4.861072||full_5-(2863..3579)-K06400-spoIVCA; site-specific DNA recombinase",717
"NODE_3714_length_5905_cov_17.748376||full_1-(1..1035)-K07482-K07482; transposase, IS30 family",1035
"NODE_861_length_14030_cov_10.151628||full_1-(1..1539)-K06400-spoIVCA; site-specific DNA recombinase",1539
"NODE_3287_length_6378_cov_17.220781||full_2-(87..1640)-VOG00520-sp|P03015|GIN_BPMU Serine recombinase gin",1554
"NODE_1693_length_9665_cov_7.831634||full_14-(6168..8129)-VOG00758-sp|P16942|T629_SHISO Transposase for insertion sequence element IS629",1962
"NODE_7796_length_3510_cov_5.759768||full_6-(2528..3409)-K14059-int; integrase",882
"NODE_5898_length_4272_cov_7.490159||full_3-(603..2162)-K06400-spoIVCA; site-specific DNA recombinase",1560
"NODE_5898_length_4272_cov_7.490159||full_4-(2155..3858)-K06400-spoIVCA; site-specific DNA recombinase",1704
"NODE_8288_length_3362_cov_5.049894||full_6-(1792..2832)-K07482-K07482; transposase, IS30 family",1041
"NODE_4841_length_4897_cov_10.490500||full_3-(1522..2811)-VOG00758-sp|P16942|T629_SHISO Transposase for insertion sequence element IS629",1290
"NODE_8838_length_3216_cov_3.215122||full_6-(1749..3158)-VOG00520-sp|P03015|GIN_BPMU Serine recombinase gin",1410
"NODE_568_length_17507_cov_34.427687||full_4-(1893..2495)-K04763-xerD; integrase/recombinase XerD",603
"NODE_16598_length_2031_cov_4.272267||full_1-(1..546)-K06400-spoIVCA; site-specific DNA recombinase",546
"NODE_2487_length_7625_cov_6.039102||full_12-(6421..7461)-K07482-K07482; transposase, IS30 family",1041
"NODE_9706_length_3003_cov_29.248304||full_4-(1930..3000)-K07482-K07482; transposase, IS30 family",1071
"NODE_1684_length_9706_cov_14.299140||full_7-(2236..3846)-K06400-spoIVCA; site-specific DNA recombinase",1611
"NODE_401_length_20474_cov_52.458495||full_1 1-10803/20471_3-(1620..3215)-K06400-spoIVCA; site-specific DNA recombinase",1596
"NODE_2195_length_8241_cov_5.376008||full_9-(3347..4861)-K06400-spoIVCA; site-specific DNA recombinase",1515
"NODE_4995_length_4784_cov_5.478325||full_7-(3982..4635)-PF09588.10-YqaJ-like viral recombinase domain",654
"NODE_8218_length_3380_cov_5.039098||full_5-(1879..3366)-VOG00520-sp|P03015|GIN_BPMU Serine recombinase gin",1488
"NODE_249_length_25348_cov_10.305737||full_11-(3239..4678)-K06400-spoIVCA; site-specific DNA recombinase",1440
"NODE_5080_length_4732_cov_15.352576||full_1-(1..1365)-K06400-spoIVCA; site-specific DNA recombinase",1365
"NODE_5080_length_4732_cov_15.352576||full_2-(1367..3010)-K06400-spoIVCA; site-specific DNA recombinase",1644
"NODE_5080_length_4732_cov_15.352576||full_3-(3003..4544)-K06400-spoIVCA; site-specific DNA recombinase",1542
"NODE_3572_length_6054_cov_7.996833||full_7-(4370..5386)-K04763-xerD; integrase/recombinase XerD",1017
"NODE_6764_length_3880_cov_5.967320||full_8-(2785..3828)-K07482-K07482; transposase, IS30 family",1044
"NODE_20290_length_1756_cov_43.235156||full_4-(741..1616)-K04763-xerD; integrase/recombinase XerD",876
"NODE_15587_length_2130_cov_2.969639||full_3-(746..1312)-K04763-xerD; integrase/recombinase XerD",567
"NODE_567_length_17512_cov_64.149739||full_23-(16462..17472)-K06400-spoIVCA; site-specific DNA recombinase",1011
"NODE_617_length_16800_cov_54.887907||full_14-(9475..10047)-K04763-xerD; integrase/recombinase XerD",573
"NODE_6549_length_3977_cov_11.524477||full_1-(206..1846)-K06400-spoIVCA; site-specific DNA recombinase",1641
"NODE_4115_length_5478_cov_18.545639||full_1-(1..858)-K06400-spoIVCA; site-specific DNA recombinase",858
"NODE_4115_length_5478_cov_18.545639||full_2-(931..2520)-K06400-spoIVCA; site-specific DNA recombinase",1590
"NODE_4115_length_5478_cov_18.545639||full_3-(2517..4211)-K06400-spoIVCA; site-specific DNA recombinase",1695
"NODE_4115_length_5478_cov_18.545639||full_4-(4213..5367)-K06400-spoIVCA; site-specific DNA recombinase",1155
"NODE_3172_length_6553_cov_104.489074||full_3-(1747..2787)-K04763-xerD; integrase/recombinase XerD",1041
"NODE_3172_length_6553_cov_104.489074||full_4-(2765..3772)-K04763-xerD; integrase/recombinase XerD",1008
"NODE_3172_length_6553_cov_104.489074||full_5-(3769..4986)-K03733-xerC; integrase/recombinase XerC",1218
"NODE_6376_length_4050_cov_15.099625||full_4-(2304..3659)-VOG00520-sp|P03015|GIN_BPMU Serine recombinase gin",1356
"NODE_7717_length_3541_cov_56.413941||full_3-(800..2353)-PF03050.14-Transposase IS66 family",1554
"NODE_7990_length_3444_cov_15.452641||full_1-(1..1047)-K07482-K07482; transposase, IS30 family",1047
"NODE_29366_length_1344_cov_8.359969||full_1-(1..327)-K04763-xerD; integrase/recombinase XerD",327
"NODE_143_length_30830_cov_15.632559||full_1 4995-29296/29296_26-(21227..23059)-VOG00758-sp|P16942|T629_SHISO Transposase for insertion sequence element IS629",1833
"NODE_902_length_13696_cov_6.977494||full_5-(1511..2074)-K04763-xerD; integrase/recombinase XerD",564
"NODE_4872_length_4872_cov_5.797799||full_1-(1..1590)-VOG00520-sp|P03015|GIN_BPMU Serine recombinase gin",1590
"NODE_14223_length_2271_cov_14.502256||full_4-(1007..1585)-K07487-K07487; transposase",579
